OID_,map_index,svy_yrs,reserve_name,SHAPE_Length,SHAPE_Area,latitude,longitude
1,"CPAR-1,1.1",11,Cherry Point,14041.565926049705013,11686989.499868428334594,48.8975716,-122.7857819
2,"CPAR-1,1.2",11,Cherry Point,35753.881853364371636,39220756.536813020706177,48.8796234,-122.7768478
3,"CPAR-1,1.3",11,Cherry Point,31102.768907826815848,30201425.156115803867579,48.8547249,-122.7332458
4,"CPAR-1,1.4",11,Cherry Point,24174.784700136191532,24969413.373376611620188,48.8282661,-122.7134247
5,"CIAR-1,1.1",11,Cypress Island,11619.223018930628314,9601198.752132827416062,48.6146889,-122.7180328
6,"CIAR-1,1.2",11,Cypress Island,30189.656427101221198,20301482.050392620265484,48.5981216,-122.7257919
7,"CIAR-1,1.3",11,Cypress Island,19646.479763265426300,13130025.240753190591931,48.5735435,-122.7371826
8,"CIAR-1,1.4",11,Cypress Island,7931.887914095613269,3915835.867733722552657,48.5615807,-122.7355423
9,"CIAR-1,1.5",11,Cypress Island,23230.022706717820256,13949455.318812046200037,48.5545044,-122.7224274
10,"CIAR-1,1.6",11,Cypress Island,27619.821131231681647,21490038.974265951663256,48.5411072,-122.7041779
11,"CIAR-1,1.7",11,Cypress Island,25953.460952185672795,18946671.462932363152504,48.5561829,-122.6859894
12,"CIAR-1,1.8",11,Cypress Island,44029.701124594423163,34386230.204045511782169,48.5867958,-122.6903305
13,"CIAR-1,1.9",11,Cypress Island,13767.818606388576882,12315722.639480669051409,48.5930481,-122.6818695
14,"SIAR-1,1.1",12,Smith and Minor Islands,16121.419656518102784,13902979.579080188646913,48.3251190,-122.8293991
15,"SIAR-2,2.1",11,Smith and Minor Islands,53560.077331380220130,124261346.780582323670387,48.2929535,-122.7295532
16,"SIAR-2,2.2",11,Smith and Minor Islands,32648.690650790260406,65101139.814842469990253,48.2551498,-122.7571564
17,"SIAR-3,3.1",11,Smith and Minor Islands,23811.833909720389784,34130088.820162802934647,48.2336540,-122.7680511
18,"SIAR-3,3.2",11,Smith and Minor Islands,41177.811304201139137,68827615.256658732891083,48.2081680,-122.7468033
19,"SIAR-1,1.2",12,Smith and Minor Islands,25842.771913701351878,45286422.081244446337223,48.3192673,-122.8514252
20,"SIAR-1,1.3",12,Smith and Minor Islands,12849.620230104857910,5996204.129288379102945,48.3208427,-122.8251801
21,"SIAR-1,1.4",11,Smith and Minor Islands,58197.200074712192873,194677515.293886840343475,48.2587357,-122.8534012
