OID_,MAP_INDEX_,Shape_Length,Shape_Area,svy_yrs,Longitude,Latitude,sub_basin,reach,map_index
1,16.2999992,46036.585564306522429,146414930.500000000000000,30,-124.742135935814431,48.407552129214125,coast,,
3,16.3999996,74929.370110795032815,227945108.500000000000000,30,-124.736082165649663,48.368739369816133,coast,,
9,17.1000004,50883.317221327073639,142275917.500000000000000,30,-124.694516252400177,48.340829102745495,coast,,
11,17.2000008,49916.589224121889856,129625464.000000000000000,30,-124.663240141755836,48.319146355588046,coast,,
12,17.2999992,78535.493248009428498,312772162.000000000000000,30,-124.701878320834737,48.293201951518014,coast,,
14,18.1000004,90137.080279507528758,464273352.500000000000000,30,-124.725592805350487,48.246340208928551,coast,,
17,18.2000008,87619.547056457697181,383191244.500000000000000,30,-124.729852299714651,48.204239906274680,coast,,
18,19.1000004,110187.533101946130046,705800950.000000000000000,30,-124.776994123764283,48.168058092528462,coast,,
36,19.2000008,84089.910001561744139,419677026.000000000000000,30,-124.731409079677888,48.108703841283798,coast,,
50,20.1000004,96430.783880140341353,555657733.000000000000000,30,-124.721644971390887,48.058671736136120,coast,,
56,20.2000008,90270.084256132628070,444448137.000000000000000,30,-124.711733878560693,48.012405101011289,coast,,
57,21.1000004,88542.132170205833972,397587779.000000000000000,30,-124.708561326087448,47.974851727097644,coast,,
58,21.2000008,111151.804061237780843,747795064.000000000000000,30,-124.687086884782644,47.925963836389606,coast,,
59,22.1000004,94896.245267242004047,493613505.000000000000000,30,-124.647671423139883,47.875396963044906,coast,,
60,22.2000008,97064.370389202886145,554087962.000000000000000,30,-124.597129449794309,47.843761690841752,coast,,
61,23.1000004,88017.007569375753519,411877509.000000000000000,30,-124.551284608042465,47.811755426754168,coast,,
62,23.2000008,88047.912980803201208,366231064.500000000000000,30,-124.504251799333204,47.786098316113346,coast,,
63,24.1000004,88206.366405330816633,361395441.000000000000000,30,-124.480819921217517,47.751322513008425,coast,,
64,24.2000008,59911.026213588324026,204567420.500000000000000,30,-124.432106264708665,47.720810160480674,coast,,
65,25.1000004,122171.897104613904958,811302190.500000000000000,30,-124.412294180419750,47.646781871997824,coast,,
66,25.2000008,51777.773170384811237,192049077.000000000000000,30,-124.482356532630874,47.677869988402648,coast,,
67,26.1000004,102276.289147437433712,645135517.500000000000000,30,-124.398501057826451,47.563578724166135,coast,,
68,27.1000004,129248.389236764734960,1040727894.500000000000000,30,-124.390505152620733,47.485582449261827,coast,,
69,28.1000004,129196.917642269225325,1039279028.000000000000000,30,-124.379272019300601,47.394229930330674,coast,,
70,29.1000004,145678.831405088887550,1293867351.500000000000000,30,-124.324258895697582,47.308753321687576,coast,,
71,30.1000004,142623.869662259501638,1223654234.000000000000000,30,-124.280659684161151,47.229320656025010,coast,,
72,31.1000004,142502.487631767755374,1240884249.000000000000000,30,-124.252341346873038,47.146718139262752,coast,,
73,32.0999985,139136.746233697718708,1201325210.000000000000000,30,-124.236115796884860,47.059326670676036,coast,,
74,33.0999985,142602.724425254273228,1268985765.000000000000000,30,-124.233076798035142,46.966704291931883,coast,,
75,34.0999985,149624.363165312272031,1341258019.000000000000000,30,-124.201947649103118,46.875364360222122,coast,,
76,35.0999985,152296.719368293212028,1373993322.500000000000000,30,-124.179303433448979,46.796259881259310,coast,,
77,36.0999985,159116.875560668384423,1537057186.000000000000000,30,-124.162491860784300,46.710678490149597,coast,,
78,37.0999985,155725.935270970046986,1491619776.000000000000000,30,-124.146018968033047,46.619032220503769,coast,,
79,38.0999985,147809.722625174967106,1332371565.000000000000000,30,-124.135045728902483,46.530768161525124,coast,,
80,39.0999985,140174.534265234717168,1207776824.000000000000000,30,-124.128364444021400,46.445058737874334,coast,,
81,40.0999985,145057.540202579315519,1345319505.500000000000000,30,-124.123996570188154,46.354718449537273,coast,,
82,41.0999985,117874.093970262823859,854640405.500000000000000,30,-124.124499658540245,46.268489727884301,coast,,
