OID_,MAP_INDEX_,Shape_Length,Shape_Area,svy_yrs,Longitude,Latitude,sub_basin,reach,map_index
23,4.1999998,53901.145394515668158,153654465.000000000000000,30,-123.119634446281268,48.192916518410698,eastern_strait,Dungeness Spit - Pt Angeles,4.2
25,8.1000004,79155.917072029231349,328056441.500000000000000,30,-123.663554859083376,48.172292069523195,eastern_strait,Observatory Pt - Crescent Rock,8.1
31,4.3000002,77198.685992634302238,262150253.000000000000000,30,-123.190082169085173,48.162328760174482,eastern_strait,Dungeness Spit - Pt Angeles,4.3
34,8.3999996,10142.570568826804447,6725408.000000000000000,30,-123.726549820279175,48.169785667638280,eastern_strait,Observatory Pt - Crescent Rock,8.4
35,8.3000002,22031.187864230952982,19419427.500000000000000,30,-123.734038543210758,48.164614974764241,eastern_strait,Observatory Pt - Crescent Rock,8.3
37,7.1999998,59973.189436572589329,192390179.000000000000000,30,-123.548083583999798,48.158704509120909,eastern_strait,Ediz Hook - Freshwater Bay,7.2
38,4.0999999,79269.271771999512566,312589414.500000000000000,30,-123.119103062881052,48.160438041987810,eastern_strait,Pt Townsend - Jamestown,4.1
39,8.1999998,20512.949955218609830,24532691.000000000000000,30,-123.712738234406046,48.158992907112186,eastern_strait,Observatory Pt - Crescent Rock,8.2
40,7.0999999,59765.384912596688082,228598604.500000000000000,30,-123.489702561115706,48.147260845274275,eastern_strait,Ediz Hook - Freshwater Bay,7.1
41,6.1999998,62536.533600221882807,203695746.000000000000000,30,-123.410758686494859,48.152990574778158,eastern_strait,Ediz Hook - Freshwater Bay,6.2
42,7.3000002,52531.977270278388460,165187439.000000000000000,30,-123.607864452001607,48.142499471166502,eastern_strait,Ediz Hook - Freshwater Bay,7.3
43,3.2000000,90920.412321861498640,537420444.000000000000000,30,-123.062962408534347,48.119552565812320,eastern_strait,Pt Townsend - Jamestown,3.2
44,2.5000000,81196.503685691161081,256039242.000000000000000,30,-122.923245083761671,48.139553284463211,eastern_strait,Pt Townsend - Jamestown,2.5
45,1.2000000,64739.718551352561917,230530378.000000000000000,30,-122.851722761820895,48.137912769396493,eastern_strait,Pt Townsend - Jamestown,1.2
46,1.1000000,64307.353336994274287,245968651.000000000000000,30,-122.788581197345266,48.142228928898611,eastern_strait,Pt Townsend - Jamestown,1.1
47,5.0999999,63782.585190249395964,268828144.000000000000000,30,-123.250284889600351,48.127902485722338,eastern_strait,Dungeness Spit - Pt Angeles,5.1
48,5.1999998,57210.894535806837666,213532363.500000000000000,30,-123.318601163039077,48.125532922646009,eastern_strait,Dungeness Spit - Pt Angeles,5.2
49,6.0999999,50331.691618514087168,156723759.000000000000000,30,-123.375800687566482,48.125358373274466,eastern_strait,Dungeness Spit - Pt Angeles,6.1
51,2.4000001,31509.388689262792468,60133025.500000000000000,30,-122.923448386416936,48.117634210555352,eastern_strait,Pt Townsend - Jamestown,2.4
52,2.3000000,54334.206465916744492,184888796.000000000000000,30,-122.978332451858080,48.105181032815359,eastern_strait,Pt Townsend - Jamestown,2.3
53,2.0999999,29798.423119255585334,49468030.000000000000000,30,-122.889085739389557,48.113677054999215,eastern_strait,Pt Townsend - Jamestown,2.1
54,2.2000000,41933.019514090185112,77638387.500000000000000,30,-122.927551160216638,48.101086608489389,eastern_strait,Pt Townsend - Jamestown,2.2
55,3.0999999,30214.280052115725994,42596936.000000000000000,30,-123.018829046314963,48.085075693464489,eastern_strait,Pt Townsend - Jamestown,3.1
