OID_,MAP_INDEX_,Shape_Length,Shape_Area,svy_yrs,Longitude,Latitude,sub_basin,reach,map_index
2,16.2000008,87572.020432729841559,422639873.000000000000000,30,-124.662100216246145,48.403393237030485,western_strait,,
4,15.3999996,44456.738063945434988,102180513.500000000000000,30,-124.593911076501428,48.388563522240005,western_strait,,
5,15.3000002,52799.954287120344816,97980318.000000000000000,30,-124.571805607112026,48.378154149318014,western_strait,,
6,15.1999998,56338.683543312647089,209678720.000000000000000,30,-124.528181989282501,48.365649296004669,western_strait,,
7,16.1000004,16488.107449552149774,18028966.500000000000000,30,-124.624035706861562,48.368586264281966,western_strait,,
8,15.1000004,66509.135235819077934,236282742.000000000000000,30,-124.485922176056746,48.345080978346168,western_strait,,
10,14.1000004,103231.777530818973901,672619057.500000000000000,30,-124.409403051251715,48.313245349794308,western_strait,,
13,13.1999998,77541.945048339563073,367927460.000000000000000,30,-124.308760207849559,48.289638053157191,western_strait,,
15,12.1000004,99408.948035297551542,468547109.000000000000000,30,-124.185417345115397,48.253402674064056,western_strait,,
16,13.1000004,36251.722119814177859,63067699.500000000000000,30,-124.277890344934164,48.259417271438743,western_strait,,
19,11.3000002,38627.929356378459488,71833012.500000000000000,30,-124.101726416220799,48.223771280787297,western_strait,,
20,11.1999998,49605.535257622672361,162950869.000000000000000,30,-124.082524863849429,48.201861287047556,western_strait,,
21,11.1000004,45756.442908348100900,121236694.000000000000000,30,-124.035095209635813,48.187679013812925,western_strait,,
22,10.6000004,34733.456530243172892,63423393.500000000000000,30,-124.005037799749417,48.177486620064883,western_strait,,
24,10.5000000,39680.123901172235492,71016769.000000000000000,30,-123.975075740753766,48.172947993132887,western_strait,,
26,10.3999996,20514.102057729116495,25406954.000000000000000,30,-123.954174944570497,48.177498059605206,western_strait,,
27,10.3000002,25437.047040421948623,33125489.500000000000000,30,-123.938452529039836,48.172264709454005,western_strait,,
28,10.1999998,31867.627139860134776,56016993.000000000000000,30,-123.919951133253946,48.167625603100610,western_strait,,
29,10.1000004,40900.056717854356975,82841880.500000000000000,30,-123.887383371520627,48.165377269787371,western_strait,,
30,9.3000002,41622.800009771563055,104340038.000000000000000,30,-123.850285533821875,48.166337689341084,western_strait,,
32,9.1999998,24392.776012158705271,32865442.000000000000000,30,-123.820661894465545,48.167078490836637,western_strait,,
33,9.1000004,55491.734283816855168,167819384.000000000000000,30,-123.779477028908147,48.165074894993523,western_strait,,
