"","X","map_index","year_","region","kelp_sp","cover"
"1",1,"1.1",1989,"Eastern Strait","tot_ne_can",NA
"2",1,"1.1",1989,"Eastern Strait","tot_ma_can",NA
"3",1,"1.1",1989,"Eastern Strait","tot_can",13
"4",1,"1.1",1989,"Eastern Strait","tot_ne_pl",NA
"5",1,"1.1",1989,"Eastern Strait","tot_ma_pl",NA
"6",1,"1.1",1989,"Eastern Strait","tot_pl",42.4000015
"7",1,"1.1",1989,"Eastern Strait","unsp_can",13
"8",1,"1.1",1989,"Eastern Strait","unsp_pl",42.4
"9",2,"1.2",1989,"Eastern Strait","tot_ne_can",NA
"10",2,"1.2",1989,"Eastern Strait","tot_ma_can",NA
"11",2,"1.2",1989,"Eastern Strait","tot_can",13.8000002
"12",2,"1.2",1989,"Eastern Strait","tot_ne_pl",NA
"13",2,"1.2",1989,"Eastern Strait","tot_ma_pl",NA
"14",2,"1.2",1989,"Eastern Strait","tot_pl",27.1000004
"15",2,"1.2",1989,"Eastern Strait","unsp_can",13.8
"16",2,"1.2",1989,"Eastern Strait","unsp_pl",27.1
"17",3,"2.1",1989,"Eastern Strait","tot_ne_can",NA
"18",3,"2.1",1989,"Eastern Strait","tot_ma_can",NA
"19",3,"2.1",1989,"Eastern Strait","tot_can",0
"20",3,"2.1",1989,"Eastern Strait","tot_ne_pl",NA
"21",3,"2.1",1989,"Eastern Strait","tot_ma_pl",NA
"22",3,"2.1",1989,"Eastern Strait","tot_pl",0
"23",3,"2.1",1989,"Eastern Strait","unsp_can",0
"24",3,"2.1",1989,"Eastern Strait","unsp_pl",0
"25",4,"2.2",1989,"Eastern Strait","tot_ne_can",NA
"26",4,"2.2",1989,"Eastern Strait","tot_ma_can",NA
"27",4,"2.2",1989,"Eastern Strait","tot_can",0
"28",4,"2.2",1989,"Eastern Strait","tot_ne_pl",NA
"29",4,"2.2",1989,"Eastern Strait","tot_ma_pl",NA
"30",4,"2.2",1989,"Eastern Strait","tot_pl",0
"31",4,"2.2",1989,"Eastern Strait","unsp_can",0
"32",4,"2.2",1989,"Eastern Strait","unsp_pl",0
"33",5,"2.3",1989,"Eastern Strait","tot_ne_can",NA
"34",5,"2.3",1989,"Eastern Strait","tot_ma_can",NA
"35",5,"2.3",1989,"Eastern Strait","tot_can",0.6
"36",5,"2.3",1989,"Eastern Strait","tot_ne_pl",NA
"37",5,"2.3",1989,"Eastern Strait","tot_ma_pl",NA
"38",5,"2.3",1989,"Eastern Strait","tot_pl",4.0999999
"39",5,"2.3",1989,"Eastern Strait","unsp_can",0.6
"40",5,"2.3",1989,"Eastern Strait","unsp_pl",4.1
"41",6,"2.4",1989,"Eastern Strait","tot_ne_can",NA
"42",6,"2.4",1989,"Eastern Strait","tot_ma_can",NA
"43",6,"2.4",1989,"Eastern Strait","tot_can",0.9
"44",6,"2.4",1989,"Eastern Strait","tot_ne_pl",NA
"45",6,"2.4",1989,"Eastern Strait","tot_ma_pl",NA
"46",6,"2.4",1989,"Eastern Strait","tot_pl",10.3999996
"47",6,"2.4",1989,"Eastern Strait","unsp_can",0.9
"48",6,"2.4",1989,"Eastern Strait","unsp_pl",10.4
"49",7,"2.5",1989,"Eastern Strait","tot_ne_can",NA
"50",7,"2.5",1989,"Eastern Strait","tot_ma_can",NA
"51",7,"2.5",1989,"Eastern Strait","tot_can",10.6000004
"52",7,"2.5",1989,"Eastern Strait","tot_ne_pl",NA
"53",7,"2.5",1989,"Eastern Strait","tot_ma_pl",NA
"54",7,"2.5",1989,"Eastern Strait","tot_pl",73.1999969
"55",7,"2.5",1989,"Eastern Strait","unsp_can",10.6
"56",7,"2.5",1989,"Eastern Strait","unsp_pl",73.2
"57",8,"3.1",1989,"Eastern Strait","tot_ne_can",NA
"58",8,"3.1",1989,"Eastern Strait","tot_ma_can",NA
"59",8,"3.1",1989,"Eastern Strait","tot_can",0
"60",8,"3.1",1989,"Eastern Strait","tot_ne_pl",NA
"61",8,"3.1",1989,"Eastern Strait","tot_ma_pl",NA
"62",8,"3.1",1989,"Eastern Strait","tot_pl",0
"63",8,"3.1",1989,"Eastern Strait","unsp_can",0
"64",8,"3.1",1989,"Eastern Strait","unsp_pl",0
"65",9,"3.2",1989,"Eastern Strait","tot_ne_can",NA
"66",9,"3.2",1989,"Eastern Strait","tot_ma_can",NA
"67",9,"3.2",1989,"Eastern Strait","tot_can",0
"68",9,"3.2",1989,"Eastern Strait","tot_ne_pl",NA
"69",9,"3.2",1989,"Eastern Strait","tot_ma_pl",NA
"70",9,"3.2",1989,"Eastern Strait","tot_pl",0
"71",9,"3.2",1989,"Eastern Strait","unsp_can",0
"72",9,"3.2",1989,"Eastern Strait","unsp_pl",0
"73",10,"4.1",1989,"Eastern Strait","tot_ne_can",NA
"74",10,"4.1",1989,"Eastern Strait","tot_ma_can",NA
"75",10,"4.1",1989,"Eastern Strait","tot_can",0
"76",10,"4.1",1989,"Eastern Strait","tot_ne_pl",NA
"77",10,"4.1",1989,"Eastern Strait","tot_ma_pl",NA
"78",10,"4.1",1989,"Eastern Strait","tot_pl",0
"79",10,"4.1",1989,"Eastern Strait","unsp_can",0
"80",10,"4.1",1989,"Eastern Strait","unsp_pl",0
"81",11,"4.2",1989,"Eastern Strait","tot_ne_can",NA
"82",11,"4.2",1989,"Eastern Strait","tot_ma_can",NA
