OID_,unit,lat,lon
1,SJI_01,-123.020644059999995,48.457709170000001
2,SJI_02,-123.125977610000007,48.496969780000001
3,SJI_03,-122.952439670000004,48.454929170000000
4,SJI_04,-123.009525909999994,48.496219429999996
5,SJI_05,-122.977326219999995,48.524791460000003
6,SJI_06,-123.003631440000007,48.536228489999999
7,SJI_07,-122.986764330000000,48.555934460000003
8,SJI_08,-123.085341819999996,48.598718689999998
9,SJI_09,-123.147975579999994,48.630477470000002
10,SJI_10,-123.197219640000000,48.595434519999998
11,SJI_11,-123.163835270000007,48.594590640000000
12,SJI_12,-122.898029460000004,48.437400550000000
13,SJI_13,-122.834825469999998,48.423028760000001
14,SJI_14,-122.795201250000005,48.478184859999999
15,SJI_15,-122.790231210000002,48.532191480000002
16,SJI_16,-122.842457330000002,48.491695219999997
17,SJI_17,-122.929673109999996,48.506986359999999
18,SJI_18,-122.919680299999996,48.556301070000004
19,SJI_19,-122.851377429999999,48.573695129999997
20,SJI_20,-123.012340050000006,48.600969730000003
21,SJI_21,-122.932102420000007,48.589782749999998
22,SJI_22,-122.971229190000003,48.622364509999997
23,SJI_23,-122.857291730000000,48.622680440000003
24,SJI_24,-122.898183630000005,48.670510139999998
25,SJI_25,-122.961277210000006,48.689546110000002
26,SJI_26,-122.899694240000002,48.722358730000003
27,SJI_27,-122.787475720000003,48.578752940000001
28,SJI_28,-122.771822979999996,48.634529450000002
29,SJI_29,-122.769446099999996,48.700878930000002
30,SJI_30,-122.907870059999993,48.764495470000000
31,SJI_31,-123.006491249999996,48.732049480000001
32,SJI_32,-123.008305620000002,48.704812179999998
33,SJI_33,-123.051214229999999,48.689779190000003
34,SJI_34,-123.134115510000001,48.645815579999997
35,SJI_35,-123.145343960000005,48.662043810000000
36,SJI_36,-123.193719599999994,48.682660919999996
37,SJI_37,-123.200473220000006,48.669056040000001
38,SJI_38,-123.079254390000003,48.658690770000000
42,SHPT-E,-122.680494339999996,48.509737309999998
43,BZPT,-122.678327150000001,48.441794530000003
44,COFF,-122.662262260000006,48.412982620000001
47,POLN,-122.562094959999996,48.274343590000001
49,NB-M,-122.777094529999999,48.145091909999998
50,EBL,-122.701343829999999,48.184125610000002
51,FWB,-123.610317409999993,48.139832130000002
52,CLLB,-124.274575780000006,48.256513740000003
53,ED-N,-122.376537610000000,47.821814310000001
54,MDL,-122.345820380000006,47.844068300000004
55,HAT,-122.299964149999994,48.002630990000000
58,LMMI,-122.628622620000002,48.650335750000004
59,CHPT,-122.723107540000001,48.850851880000000
61,MKTO,-122.311129769999994,47.936751940000001
62,POSS,-122.383054299999998,47.903692409999998
65,FWBO,-123.636976399999995,48.149988839999999
66,ED-DP,-122.381385580000000,47.817037569999997
68,SHPT-W,-122.689690630000001,48.506783360000000
69,"CPAR-1,1.1",-122.785765229999996,48.897564150000001
70,"CPAR-1,1.2",-122.776825810000005,48.879619360000000
71,"CPAR-1,1.3",-122.733225210000001,48.854720000000000
72,"CPAR-1,1.4",-122.713409709999993,48.828261099999999
73,"CIAR-1,1.1",-122.718015989999998,48.614683440000000
74,"CIAR-1,1.2",-122.725778259999998,48.598116070000003
75,"CIAR-1,1.3",-122.737168539999999,48.573537350000002
76,"CIAR-1,1.4",-122.735524630000000,48.561576119999998
77,"CIAR-1,1.5",-122.722411789999995,48.554498420000002
78,"CIAR-1,1.6",-122.704161780000007,48.541101619999999
79,"CIAR-1,1.7",-122.685979119999999,48.556175310000000
